epoch,tr_loss,tr_acc,vl_loss,vl_acc,vl_f1
1,1.1514252788265094,0.4802644841349837,1.0415689507536932,0.5412844036697247,0.5261826912004711
2,1.0645240769964772,0.5258638067975648,0.9990439746139247,0.5642201834862385,0.5434351981882288
3,1.0269203936626405,0.5473531427649881,0.9954624017881691,0.5579816513761467,0.5368974196850274
4,1.0122262683601257,0.5556585896867314,0.9762241143261621,0.5660550458715596,0.5482821262638049
5,0.9958376854661731,0.5640043543119784,0.9717425814571731,0.5686238532110092,0.5536650254883647
6,0.9803811434425231,0.5697697859129944,0.9659342557574631,0.575045871559633,0.5559414641984336
7,0.9726123785158417,0.5750917227754707,0.955138115631331,0.5805504587155963,0.5594849729159487
8,0.9557639048706835,0.5850098778373584,0.9568640716578982,0.5847706422018348,0.5740895870977514
9,0.9455780115804475,0.5876305285650929,0.9591127797988577,0.5761467889908257,0.5629900820058502
10,0.9352599879774754,0.5938797726081523,0.9625174165209499,0.58,0.5664634421029227
11,0.9275780029509888,0.6020239487158812,0.950181084368207,0.5768807339449541,0.5669703413869114
12,0.9161110250227865,0.6067008023222997,0.9528415752332144,0.5783486238532111,0.5673858765641057
13,0.9103709988376236,0.6041204692980687,0.9451885213217605,0.5847706422018348,0.573331467576764
14,0.8997105695555077,0.6095633592710559,0.9428605807046277,0.5856880733944955,0.5703221269983894
15,0.8982413718403671,0.6151675200580575,0.931373681956475,0.591743119266055,0.577450890854417
16,0.8487139895587795,0.6344393823327823,0.8571239312745016,0.6300917431192661,0.6211912838193261
17,0.7766125921385426,0.6770955126396,0.8202353497984213,0.6489908256880734,0.6401811691850496
18,0.7160076487906897,0.7051163165746079,0.8027401373309827,0.6623853211009174,0.6494331424458861
19,0.6632525689447233,0.7292666209732693,0.8020740528937873,0.6612844036697247,0.6557376860304127
20,0.6159771865103334,0.7521670765633189,0.7859505455154892,0.6748623853211009,0.665229639448099
21,0.5728107467368837,0.7693827359593598,0.8056853079358373,0.6710091743119266,0.6628123495293718
22,0.5409543568808595,0.7828085312260613,0.7937552861992372,0.6726605504587156,0.6655935048400561
23,0.5006716422619792,0.8020803935007862,0.8095133452623262,0.6754128440366972,0.668194224015947
24,0.4751686739075911,0.8160303189130347,0.8276183141125452,0.675045871559633,0.6665479363908953
25,0.44840764523090787,0.8269967342660162,0.8171043436256571,0.6787155963302752,0.6711808220787081
26,0.42636486224549885,0.8333266137160827,0.8276204822410684,0.6809174311926606,0.6732064160546757
27,0.41435668091954125,0.8394549046486313,0.8162172121834864,0.6823853211009174,0.6762127155280745
28,0.40215968012458897,0.8440914405515462,0.8314694726043338,0.6801834862385321,0.6701909288122522
29,0.3933909275486302,0.8500584606700803,0.8286302283132841,0.6796330275229358,0.672161447253655
30,0.3950862708084238,0.8486876587509575,0.8376329215287889,0.6796330275229358,0.6685615151899043
